"com","BonNomDeVille","DeLaVille","ALaVille"
"01230","Mantenay-Montlin","de Mantenay-Montlin","à Mantenay-Montlin"
"01231","Manziat","de Manziat","à Manziat"
"01232","Marboz","de Marboz","à Marboz"
"01233","Marchamp","de Marchamp","à Marchamp"
"01234","Marignieu","de Marignieu","à Marignieu"
"01235","Marlieux","de Marlieux","à Marlieux"
"01236","Marsonnas","de Marsonnas","à Marsonnas"
"01237","Martignat","de Martignat","à Martignat"
"01238","Massieux","de Massieux","à Massieux"
"01239","Massignieu-de-Rives","de Massignieu-de-Rives","à Massignieu-de-Rives"
"01240","Matafelon-Granges","de Matafelon-Granges","à Matafelon-Granges"
"01241","Meillonnas","de Meillonnas","à Meillonnas"
"01242","Mérignat","de Mérignat","à Mérignat"
"01243","Messimy-sur-Saône","de Messimy-sur-Saône","à Messimy-sur-Saône"
"01244","Meximieux","de Meximieux","à Meximieux"
"01245","Bohas-Meyriat-Rignat","de Bohas-Meyriat-Rignat","à Bohas-Meyriat-Rignat"
"01246","Mézériat","de Mézériat","à Mézériat"
"01247","Mijoux","de Mijoux","à Mijoux"
"01248","Mionnay","de Mionnay","à Mionnay"
"01249","Miribel","de Miribel","à Miribel"
"01250","Misérieux","de Misérieux","à Misérieux"
"01252","Mogneneins","de Mogneneins","à Mogneneins"
"01254","Montagnat","de Montagnat","à Montagnat"
"01255","Montagnieu","de Montagnieu","à Montagnieu"
"01257","Montanges","de Montanges","à Montanges"
"01258","Montceaux","de Montceaux","à Montceaux"
"01259","Montcet","de Montcet","à Montcet"
"01260","Le Montellier","du Montellier","au Montellier"
"01261","Monthieux","de Monthieux","à Monthieux"
"01262","Montluel","de Montluel","à Montluel"
"01263","Montmerle-sur-Saône","de Montmerle-sur-Saône","à Montmerle-sur-Saône"
"01264","Montracol","de Montracol","à Montracol"
"01265","Montréal-la-Cluse","de Montréal-la-Cluse","à Montréal-la-Cluse"
"01266","Montrevel-en-Bresse","de Montrevel-en-Bresse","à Montrevel-en-Bresse"
"01267","Nurieux-Volognat","de Nurieux-Volognat","à Nurieux-Volognat"
"01268","Murs-et-Gélignieux","de Murs-et-Gélignieux","à Murs-et-Gélignieux"
"01269","Nantua","de Nantua","à Nantua"
"01271","Nattages","de Nattages","à Nattages"
"01272","Neuville-les-Dames","de Neuville-les-Dames","à Neuville-les-Dames"
"01273","Neuville-sur-Ain","de Neuville-sur-Ain","à Neuville-sur-Ain"
"01274","Les Neyrolles","des Neyrolles","aux Neyrolles"
"01275","Neyron","de Neyron","à Neyron"
"01276","Niévroz","de Niévroz","à Niévroz"
"01277","Nivollet-Montgriffon","de Nivollet-Montgriffon","à Nivollet-Montgriffon"
"01279","Oncieu","d'Oncieu","à Oncieu"
"01280","Ordonnaz","d'Ordonnaz","à Ordonnaz"
"01281","Ornex","d'Ornex","à Ornex"
"01282","Outriaz","d'Outriaz","à Outriaz"
"01283","Oyonnax","d'Oyonnax","à Oyonnax"
"01284","Ozan","d'Ozan","à Ozan"
"01285","Parcieux","de Parcieux","à Parcieux"
"01286","Parves et Nattages","de Parves et Nattages","à Parves et Nattages"
"01286","Parves","de Parves","à Parves"
"01288","Péron","de Péron","à Péron"
"01289","Péronnas","de Péronnas","à Péronnas"
"01290","Pérouges","de Pérouges","à Pérouges"
"01291","Perrex","de Perrex","à Perrex"
"01292","Le Petit-Abergement","du Petit-Abergement","au Petit-Abergement"
"01293","Peyriat","de Peyriat","à Peyriat"
"01294","Peyrieu","de Peyrieu","à Peyrieu"
"01295","Peyzieux-sur-Saône","de Peyzieux-sur-Saône","à Peyzieux-sur-Saône"
"01296","Pirajoux","de Pirajoux","à Pirajoux"
"01297","Pizay","de Pizay","à Pizay"
"01298","Plagne","de Plagne","à Plagne"
"01299","Le Plantay","du Plantay","au Plantay"
"01300","Le Poizat","du Poizat","au Poizat"
"01301","Polliat","de Polliat","à Polliat"
"01302","Pollieu","de Pollieu","à Pollieu"
"01303","Poncin","de Poncin","à Poncin"
"01304","Pont-d'Ain","de Pont-d'Ain","à Pont-d'Ain"
"01305","Pont-de-Vaux","de Pont-de-Vaux","à Pont-de-Vaux"
"01306","Pont-de-Veyle","de Pont-de-Veyle","à Pont-de-Veyle"
"01307","Port","de Port","à Port"
"01308","Pougny","de Pougny","à Pougny"
"01309","Pouillat","de Pouillat","à Pouillat"
"01310","Prémeyzel","de Prémeyzel","à Prémeyzel"
"01311","Prémillieu","de Prémillieu","à Prémillieu"
"01312","Pressiat","de Pressiat","à Pressiat"
"01313","Prévessin-Moëns","de Prévessin-Moëns","à Prévessin-Moëns"
"01314","Priay","de Priay","à Priay"
"01316","Pugieu","de Pugieu","à Pugieu"
"01317","Ramasse","de Ramasse","à Ramasse"
"01318","Rancé","de Rancé","à Rancé"
"01319","Relevant","de Relevant","à Relevant"
"01320","Replonges","de Replonges","à Replonges"
"01321","Revonnas","de Revonnas","à Revonnas"
"01322","Reyrieux","de Reyrieux","à Reyrieux"
"01323","Reyssouze","de Reyssouze","à Reyssouze"
"01324","Rignat","de Rignat","à Rignat"
"01325","Rignieux-le-Franc","de Rignieux-le-Franc","à Rignieux-le-Franc"
"01328","Romans","de Romans","à Romans"
"01329","Rossillon","de Rossillon","à Rossillon"
"01330","Ruffieu","de Ruffieu","à Ruffieu"
"01331","Saint-Alban","de Saint-Alban","à Saint-Alban"
"01332","Saint-André-de-Bâgé","de Saint-André-de-Bâgé","à Saint-André-de-Bâgé"
"01333","Saint-André-de-Corcy","de Saint-André-de-Corcy","à Saint-André-de-Corcy"
"01334","Saint-André-d'Huiriat","de Saint-André-d'Huiriat","à Saint-André-d'Huiriat"
"01335","Saint-André-le-Bouchoux","de Saint-André-le-Bouchoux","à Saint-André-le-Bouchoux"
"01336","Saint-André-sur-Vieux-Jonc","de Saint-André-sur-Vieux-Jonc","à Saint-André-sur-Vieux-Jonc"
"01337","Saint-Bénigne","de Saint-Bénigne","à Saint-Bénigne"
"01338","Groslée-Saint-Benoit","de Groslée-Saint-Benoit","à Groslée-Saint-Benoit"
"01338","Saint-Benoît","de Saint-Benoît","à Saint-Benoît"
"01339","Saint-Bernard","de Saint-Bernard","à Saint-Bernard"
"01340","Saint-Bois","de Saint-Bois","à Saint-Bois"
"01341","Saint-Champ","de Saint-Champ","à Saint-Champ"
"01342","Sainte-Croix","de Sainte-Croix","à Sainte-Croix"
"01343","Saint-Cyr-sur-Menthon","de Saint-Cyr-sur-Menthon","à Saint-Cyr-sur-Menthon"
"01344","Saint-Denis-lès-Bourg","de Saint-Denis-lès-Bourg","à Saint-Denis-lès-Bourg"
"01345","Saint-Denis-en-Bugey","de Saint-Denis-en-Bugey","à Saint-Denis-en-Bugey"
"01346","Saint-Didier-d'Aussiat","de Saint-Didier-d'Aussiat","à Saint-Didier-d'Aussiat"
"01347","Saint-Didier-de-Formans","de Saint-Didier-de-Formans","à Saint-Didier-de-Formans"
"01348","Saint-Didier-sur-Chalaronne","de Saint-Didier-sur-Chalaronne","à Saint-Didier-sur-Chalaronne"
"01349","Saint-Éloi","de Saint-Éloi","à Saint-Éloi"
"01350","Saint-Étienne-du-Bois","de Saint-Étienne-du-Bois","à Saint-Étienne-du-Bois"
"01351","Saint-Étienne-sur-Chalaronne","de Saint-Étienne-sur-Chalaronne","à Saint-Étienne-sur-Chalaronne"
"01352","Saint-Étienne-sur-Reyssouze","de Saint-Étienne-sur-Reyssouze","à Saint-Étienne-sur-Reyssouze"
"01353","Sainte-Euphémie","de Sainte-Euphémie","à Sainte-Euphémie"
"01354","Saint-Genis-Pouilly","de Saint-Genis-Pouilly","à Saint-Genis-Pouilly"
"01355","Saint-Genis-sur-Menthon","de Saint-Genis-sur-Menthon","à Saint-Genis-sur-Menthon"
"01356","Saint-Georges-sur-Renon","de Saint-Georges-sur-Renon","à Saint-Georges-sur-Renon"
"01357","Saint-Germain-de-Joux","de Saint-Germain-de-Joux","à Saint-Germain-de-Joux"
"01358","Saint-Germain-les-Paroisses","de Saint-Germain-les-Paroisses","à Saint-Germain-les-Paroisses"
"01359","Saint-Germain-sur-Renon","de Saint-Germain-sur-Renon","à Saint-Germain-sur-Renon"
"01360","Saint-Jean-de-Gonville","de Saint-Jean-de-Gonville","à Saint-Jean-de-Gonville"
"01361","Saint-Jean-de-Niost","de Saint-Jean-de-Niost","à Saint-Jean-de-Niost"
"01362","Saint-Jean-de-Thurigneux","de Saint-Jean-de-Thurigneux","à Saint-Jean-de-Thurigneux"
"01363","Saint-Jean-le-Vieux","de Saint-Jean-le-Vieux","à Saint-Jean-le-Vieux"
"01364","Saint-Jean-sur-Reyssouze","de Saint-Jean-sur-Reyssouze","à Saint-Jean-sur-Reyssouze"
"01365","Saint-Jean-sur-Veyle","de Saint-Jean-sur-Veyle","à Saint-Jean-sur-Veyle"
"01366","Sainte-Julie","de Sainte-Julie","à Sainte-Julie"
"01367","Saint-Julien-sur-Reyssouze","de Saint-Julien-sur-Reyssouze","à Saint-Julien-sur-Reyssouze"
"01368","Saint-Julien-sur-Veyle","de Saint-Julien-sur-Veyle","à Saint-Julien-sur-Veyle"
"01369","Saint-Just","de Saint-Just","à Saint-Just"
"01370","Saint-Laurent-sur-Saône","de Saint-Laurent-sur-Saône","à Saint-Laurent-sur-Saône"
"01371","Saint-Marcel","de Saint-Marcel","à Saint-Marcel"
"01372","Saint-Martin-de-Bavel","de Saint-Martin-de-Bavel","à Saint-Martin-de-Bavel"
"01373","Saint-Martin-du-Frêne","de Saint-Martin-du-Frêne","à Saint-Martin-du-Frêne"
"01374","Saint-Martin-du-Mont","de Saint-Martin-du-Mont","à Saint-Martin-du-Mont"
"01375","Saint-Martin-le-Châtel","de Saint-Martin-le-Châtel","à Saint-Martin-le-Châtel"
"01376","Saint-Maurice-de-Beynost","de Saint-Maurice-de-Beynost","à Saint-Maurice-de-Beynost"
"01378","Saint-Maurice-de-Gourdans","de Saint-Maurice-de-Gourdans","à Saint-Maurice-de-Gourdans"
"01379","Saint-Maurice-de-Rémens","de Saint-Maurice-de-Rémens","à Saint-Maurice-de-Rémens"
"01380","Saint-Nizier-le-Bouchoux","de Saint-Nizier-le-Bouchoux","à Saint-Nizier-le-Bouchoux"
"01381","Saint-Nizier-le-Désert","de Saint-Nizier-le-Désert","à Saint-Nizier-le-Désert"
"01382","Sainte-Olive","de Sainte-Olive","à Sainte-Olive"
"01383","Saint-Paul-de-Varax","de Saint-Paul-de-Varax","à Saint-Paul-de-Varax"
"01384","Saint-Rambert-en-Bugey","de Saint-Rambert-en-Bugey","à Saint-Rambert-en-Bugey"
"01385","Saint-Rémy","de Saint-Rémy","à Saint-Rémy"
"01386","Saint-Sorlin-en-Bugey","de Saint-Sorlin-en-Bugey","à Saint-Sorlin-en-Bugey"
"01387","Saint-Sulpice","de Saint-Sulpice","à Saint-Sulpice"
"01388","Saint-Trivier-de-Courtes","de Saint-Trivier-de-Courtes","à Saint-Trivier-de-Courtes"
"01389","Saint-Trivier-sur-Moignans","de Saint-Trivier-sur-Moignans","à Saint-Trivier-sur-Moignans"
"01390","Saint-Vulbas","de Saint-Vulbas","à Saint-Vulbas"
"01391","Salavre","de Salavre","à Salavre"
"01392","Samognat","de Samognat","à Samognat"
"01393","Sandrans","de Sandrans","à Sandrans"
"01396","Sault-Brénaz","de Sault-Brénaz","à Sault-Brénaz"
"01397","Sauverny","de Sauverny","à Sauverny"
"01398","Savigneux","de Savigneux","à Savigneux"
"01399","Ségny","de Ségny","à Ségny"
"01400","Seillonnaz","de Seillonnaz","à Seillonnaz"
"01401","Sergy","de Sergy","à Sergy"
"01402","Sermoyer","de Sermoyer","à Sermoyer"
"01403","Serrières-de-Briord","de Serrières-de-Briord","à Serrières-de-Briord"
"01404","Serrières-sur-Ain","de Serrières-sur-Ain","à Serrières-sur-Ain"
"01405","Servas","de Servas","à Servas"
"01406","Servignat","de Servignat","à Servignat"
"01407","Seyssel","de Seyssel","à Seyssel"
"01408","Simandre-sur-Suran","de Simandre-sur-Suran","à Simandre-sur-Suran"
"01409","Songieu","de Songieu","à Songieu"
"01410","Sonthonnax-la-Montagne","de Sonthonnax-la-Montagne","à Sonthonnax-la-Montagne"
"01411","Souclin","de Souclin","à Souclin"
"01412","Sulignat","de Sulignat","à Sulignat"
"01413","Surjoux","de Surjoux","à Surjoux"
"01414","Sutrieu","de Sutrieu","à Sutrieu"
"01415","Talissieu","de Talissieu","à Talissieu"
"01416","Tenay","de Tenay","à Tenay"
"01417","Thézillieu","de Thézillieu","à Thézillieu"
"01418","Thil","de Thil","à Thil"
"01419","Thoiry","de Thoiry","à Thoiry"
"01420","Thoissey","de Thoissey","à Thoissey"
