"com","BonNomDeVille","DeLaVille","ALaVille"
"41097","Gièvres","de Gièvres","à Gièvres"
"41098","Gombergean","de Gombergean","à Gombergean"
"41099","Gy-en-Sologne","de Gy-en-Sologne","à Gy-en-Sologne"
"41100","Les Hayes","des Hayes","aux Hayes"
"41101","Herbault","d'Herbault","à Herbault"
"41102","Houssay","d'Houssay","à Houssay"
"41103","Huisseau-en-Beauce","d'Huisseau-en-Beauce","à Huisseau-en-Beauce"
"41104","Huisseau-sur-Cosson","d'Huisseau-sur-Cosson","à Huisseau-sur-Cosson"
"41105","Josnes","de Josnes","à Josnes"
"41106","Lamotte-Beuvron","de Lamotte-Beuvron","à Lamotte-Beuvron"
"41107","Lancé","de Lancé","à Lancé"
"41108","Lancôme","de Lancôme","à Lancôme"
"41109","Landes-le-Gaulois","de Landes-le-Gaulois","à Landes-le-Gaulois"
"41110","Langon-sur-Cher","de Langon-sur-Cher","à Langon-sur-Cher"
"41112","Lassay-sur-Croisne","de Lassay-sur-Croisne","à Lassay-sur-Croisne"
"41113","Lavardin","de Lavardin","à Lavardin"
"41114","Lestiou","de Lestiou","à Lestiou"
"41115","Lignières","de Lignières","à Lignières"
"41116","Lisle","de Lisle","à Lisle"
"41118","Loreux","de Loreux","à Loreux"
"41119","Lorges","de Lorges","à Lorges"
"41120","Lunay","de Lunay","à Lunay"
"41121","La Madeleine-Villefrouin","de La Madeleine-Villefrouin","à La Madeleine-Villefrouin"
"41122","Maray","de Maray","à Maray"
"41123","Marchenoir","de Marchenoir","à Marchenoir"
"41124","Marcilly-en-Beauce","de Marcilly-en-Beauce","à Marcilly-en-Beauce"
"41125","Marcilly-en-Gault","de Marcilly-en-Gault","à Marcilly-en-Gault"
"41126","Mareuil-sur-Cher","de Mareuil-sur-Cher","à Mareuil-sur-Cher"
"41127","La Marolle-en-Sologne","de La Marolle-en-Sologne","à La Marolle-en-Sologne"
"41128","Marolles","de Marolles","à Marolles"
"41129","Maslives","de Maslives","à Maslives"
"41130","Maves","de Maves","à Maves"
"41131","Mazangé","de Mazangé","à Mazangé"
"41132","Méhers","de Méhers","à Méhers"
"41133","Membrolles","de Membrolles","à Membrolles"
"41134","Menars","de Menars","à Menars"
"41135","Mennetou-sur-Cher","de Mennetou-sur-Cher","à Mennetou-sur-Cher"
"41136","Mer","de Mer","à Mer"
"41137","Mesland","de Mesland","à Mesland"
"41138","Meslay","de Meslay","à Meslay"
"41139","Meusnes","de Meusnes","à Meusnes"
"41140","Millançay","de Millançay","à Millançay"
"41141","Moisy","de Moisy","à Moisy"
"41142","Valencisse","de Valencisse","à Valencisse"
"41142","Molineuf","de Molineuf","à Molineuf"
"41143","Mondoubleau","de Mondoubleau","à Mondoubleau"
"41144","Monteaux","de Monteaux","à Monteaux"
"41145","Monthou-sur-Bièvre","de Monthou-sur-Bièvre","à Monthou-sur-Bièvre"
"41146","Monthou-sur-Cher","de Monthou-sur-Cher","à Monthou-sur-Cher"
"41147","Les Montils","des Montils","aux Montils"
"41148","Montlivault","de Montlivault","à Montlivault"
"41149","Montoire-sur-le-Loir","de Montoire-sur-le-Loir","à Montoire-sur-le-Loir"
"41150","Mont-près-Chambord","de Mont-près-Chambord","à Mont-près-Chambord"
"41151","Montrichard Val de Cher","de Montrichard Val de Cher","à Montrichard Val de Cher"
"41151","Montrichard","de Montrichard","à Montrichard"
"41152","Montrieux-en-Sologne","de Montrieux-en-Sologne","à Montrieux-en-Sologne"
"41153","Montrouveau","de Montrouveau","à Montrouveau"
"41154","Morée","de Morée","à Morée"
"41155","Muides-sur-Loire","de Muides-sur-Loire","à Muides-sur-Loire"
"41156","Mulsans","de Mulsans","à Mulsans"
"41157","Mur-de-Sologne","de Mur-de-Sologne","à Mur-de-Sologne"
"41158","Naveil","de Naveil","à Naveil"
"41159","Neung-sur-Beuvron","de Neung-sur-Beuvron","à Neung-sur-Beuvron"
"41160","Neuvy","de Neuvy","à Neuvy"
"41161","Nouan-le-Fuzelier","de Nouan-le-Fuzelier","à Nouan-le-Fuzelier"
"41163","Nourray","de Nourray","à Nourray"
"41164","Noyers-sur-Cher","de Noyers-sur-Cher","à Noyers-sur-Cher"
"41165","Oigny","d'Oigny","à Oigny"
"41166","Oisly","d'Oisly","à Oisly"
"41167","Veuzain-sur-Loire","de Veuzain-sur-Loire","à Veuzain-sur-Loire"
"41167","Onzain","d'Onzain","à Onzain"
"41168","Orçay","d'Orçay","à Orçay"
"41169","Orchaise","d'Orchaise","à Orchaise"
"41170","Ouchamps","d'Ouchamps","à Ouchamps"
"41171","Oucques La Nouvelle","d'Oucques La Nouvelle","à Oucques La Nouvelle"
"41171","Oucques","d'Oucques","à Oucques"
"41172","Ouzouer-le-Doyen","d'Ouzouer-le-Doyen","à Ouzouer-le-Doyen"
"41173","Beauce la Romaine","de Beauce la Romaine","à Beauce la Romaine"
"41173","Ouzouer-le-Marché","d'Ouzouer-le-Marché","à Ouzouer-le-Marché"
"41174","Périgny","de Périgny","à Périgny"
"41175","Pezou","de Pezou","à Pezou"
"41176","Pierrefitte-sur-Sauldre","de Pierrefitte-sur-Sauldre","à Pierrefitte-sur-Sauldre"
"41177","Le Plessis-Dorin","du Plessis-Dorin","au Plessis-Dorin"
"41178","Le Plessis-l'Échelle","du Plessis-l'Échelle","au Plessis-l'Échelle"
"41179","Le Poislay","du Poislay","au Poislay"
"41180","Pontlevoy","de Pontlevoy","à Pontlevoy"
"41181","Pouillé","de Pouillé","à Pouillé"
"41182","Pray","de Pray","à Pray"
"41183","Prénouvellon","de Prénouvellon","à Prénouvellon"
"41184","Prunay-Cassereau","de Prunay-Cassereau","à Prunay-Cassereau"
"41185","Pruniers-en-Sologne","de Pruniers-en-Sologne","à Pruniers-en-Sologne"
"41186","Rahart","de Rahart","à Rahart"
"41187","Renay","de Renay","à Renay"
"41188","Rhodon","de Rhodon","à Rhodon"
"41189","Rilly-sur-Loire","de Rilly-sur-Loire","à Rilly-sur-Loire"
"41190","Rocé","de Rocé","à Rocé"
"41191","Roches","de Roches","à Roches"
"41192","Les Roches-l'Évêque","des Roches-l'Évêque","aux Roches-l'Évêque"
"41193","Romilly","de Romilly","à Romilly"
"41194","Romorantin-Lanthenay","de Romorantin-Lanthenay","à Romorantin-Lanthenay"
"41195","Rougeou","de Rougeou","à Rougeou"
"41196","Ruan-sur-Egvonne","de Ruan-sur-Egvonne","à Ruan-sur-Egvonne"
"41197","Saint-Agil","de Saint-Agil","à Saint-Agil"
"41198","Saint-Aignan","de Saint-Aignan","à Saint-Aignan"
"41199","Saint-Amand-Longpré","de Saint-Amand-Longpré","à Saint-Amand-Longpré"
"41200","Sainte-Anne","de Sainte-Anne","à Sainte-Anne"
"41201","Saint-Arnoult","de Saint-Arnoult","à Saint-Arnoult"
"41202","Saint-Avit","de Saint-Avit","à Saint-Avit"
"41203","Saint-Bohaire","de Saint-Bohaire","à Saint-Bohaire"
"41204","Saint-Claude-de-Diray","de Saint-Claude-de-Diray","à Saint-Claude-de-Diray"
"41205","Saint-Cyr-du-Gault","de Saint-Cyr-du-Gault","à Saint-Cyr-du-Gault"
"41206","Saint-Denis-sur-Loire","de Saint-Denis-sur-Loire","à Saint-Denis-sur-Loire"
"41207","Saint-Dyé-sur-Loire","de Saint-Dyé-sur-Loire","à Saint-Dyé-sur-Loire"
"41208","Saint-Étienne-des-Guérets","de Saint-Étienne-des-Guérets","à Saint-Étienne-des-Guérets"
"41209","Saint-Firmin-des-Prés","de Saint-Firmin-des-Prés","à Saint-Firmin-des-Prés"
"41210","Sainte-Gemmes","de Sainte-Gemmes","à Sainte-Gemmes"
"41211","Saint-Georges-sur-Cher","de Saint-Georges-sur-Cher","à Saint-Georges-sur-Cher"
"41212","Saint-Gervais-la-Forêt","de Saint-Gervais-la-Forêt","à Saint-Gervais-la-Forêt"
"41213","Saint-Gourgon","de Saint-Gourgon","à Saint-Gourgon"
"41214","Saint-Hilaire-la-Gravelle","de Saint-Hilaire-la-Gravelle","à Saint-Hilaire-la-Gravelle"
"41215","Saint-Jacques-des-Guérets","de Saint-Jacques-des-Guérets","à Saint-Jacques-des-Guérets"
"41216","Saint-Jean-Froidmentel","de Saint-Jean-Froidmentel","à Saint-Jean-Froidmentel"
"41217","Saint-Julien-de-Chédon","de Saint-Julien-de-Chédon","à Saint-Julien-de-Chédon"
"41218","Saint-Julien-sur-Cher","de Saint-Julien-sur-Cher","à Saint-Julien-sur-Cher"
"41219","Saint-Laurent-des-Bois","de Saint-Laurent-des-Bois","à Saint-Laurent-des-Bois"
"41220","Saint-Laurent-Nouan","de Saint-Laurent-Nouan","à Saint-Laurent-Nouan"
"41221","Saint-Léonard-en-Beauce","de Saint-Léonard-en-Beauce","à Saint-Léonard-en-Beauce"
"41222","Saint-Loup","de Saint-Loup","à Saint-Loup"
"41223","Saint-Lubin-en-Vergonnois","de Saint-Lubin-en-Vergonnois","à Saint-Lubin-en-Vergonnois"
"41224","Saint-Marc-du-Cor","de Saint-Marc-du-Cor","à Saint-Marc-du-Cor"
"41225","Saint-Martin-des-Bois","de Saint-Martin-des-Bois","à Saint-Martin-des-Bois"
"41226","Saint-Ouen","de Saint-Ouen","à Saint-Ouen"
"41227","Saint-Quentin-lès-Troo","de Saint-Quentin-lès-Troo","à Saint-Quentin-lès-Troo"
"41228","Saint-Rimay","de Saint-Rimay","à Saint-Rimay"
"41229","Saint-Romain-sur-Cher","de Saint-Romain-sur-Cher","à Saint-Romain-sur-Cher"
"41230","Saint-Sulpice-de-Pommeray","de Saint-Sulpice-de-Pommeray","à Saint-Sulpice-de-Pommeray"
"41231","Saint-Viâtre","de Saint-Viâtre","à Saint-Viâtre"
"41232","Salbris","de Salbris","à Salbris"
"41233","Sambin","de Sambin","à Sambin"
"41234","Santenay","de Santenay","à Santenay"
"41235","Sargé-sur-Braye","de Sargé-sur-Braye","à Sargé-sur-Braye"
"41236","Sasnières","de Sasnières","à Sasnières"
"41237","Sassay","de Sassay","à Sassay"
"41238","Savigny-sur-Braye","de Savigny-sur-Braye","à Savigny-sur-Braye"
"41239","Seigy","de Seigy","à Seigy"
"41240","Seillac","de Seillac","à Seillac"
"41241","Selles-Saint-Denis","de Selles-Saint-Denis","à Selles-Saint-Denis"
"41242","Selles-sur-Cher","de Selles-sur-Cher","à Selles-sur-Cher"
"41243","Selommes","de Selommes","à Selommes"
"41244","Semerville","de Semerville","à Semerville"
"41245","Séris","de Séris","à Séris"
"41246","Seur","de Seur","à Seur"
"41247","Soings-en-Sologne","de Soings-en-Sologne","à Soings-en-Sologne"
"41248","Couëtron-au-Perche","de Couëtron-au-Perche","à Couëtron-au-Perche"
"41248","Souday","de Souday","à Souday"
"41249","Souesmes","de Souesmes","à Souesmes"
"41250","Sougé","de Sougé","à Sougé"
"41251","Souvigny-en-Sologne","de Souvigny-en-Sologne","à Souvigny-en-Sologne"
"41252","Suèvres","de Suèvres","à Suèvres"
"41253","Talcy","de Talcy","à Talcy"
"41254","Le Temple","du Temple","au Temple"
"41255","Ternay","de Ternay","à Ternay"
"41256","Theillay","de Theillay","à Theillay"
"41257","Thenay","de Thenay","à Thenay"
"41258","Thésée","de Thésée","à Thésée"
"41259","Thoré-la-Rochette","de Thoré-la-Rochette","à Thoré-la-Rochette"
"41260","Thoury","de Thoury","à Thoury"
"41261","Tourailles","de Tourailles","à Tourailles"
"41262","Tour-en-Sologne","de Tour-en-Sologne","à Tour-en-Sologne"
"41263","Tréhet","de Tréhet","à Tréhet"
"41264","Tripleville","de Tripleville","à Tripleville"
"41265","Troo","de Troo","à Troo"
"41266","Valaire","de Valaire","à Valaire"
"41267","Vallières-les-Grandes","de Vallières-les-Grandes","à Vallières-les-Grandes"
"41268","Veilleins","de Veilleins","à Veilleins"
"41269","Vendôme","de Vendôme","à Vendôme"
"41270","Verdes","de Verdes","à Verdes"
"41271","Vernou-en-Sologne","de Vernou-en-Sologne","à Vernou-en-Sologne"
"41272","Veuves","de Veuves","à Veuves"
"41273","Vievy-le-Rayé","de Vievy-le-Rayé","à Vievy-le-Rayé"
"41274","Villavard","de Villavard","à Villavard"
"41275","La Ville-aux-Clercs","de La Ville-aux-Clercs","à La Ville-aux-Clercs"
"41276","Villebarou","de Villebarou","à Villebarou"
"41277","Villebout","de Villebout","à Villebout"
"41278","Villechauve","de Villechauve","à Villechauve"
"41279","Villedieu-le-Château","de Villedieu-le-Château","à Villedieu-le-Château"
"41280","Villefranche-sur-Cher","de Villefranche-sur-Cher","à Villefranche-sur-Cher"
"41281","Villefrancœur","de Villefrancœur","à Villefrancœur"
"41282","Villeherviers","de Villeherviers","à Villeherviers"
"41283","Villemardy","de Villemardy","à Villemardy"
"41284","Villeneuve-Frouville","de Villeneuve-Frouville","à Villeneuve-Frouville"
"41285","Villeny","de Villeny","à Villeny"
"41286","Villeporcher","de Villeporcher","à Villeporcher"
"41287","Villerable","de Villerable","à Villerable"
"41288","Villerbon","de Villerbon","à Villerbon"
"41289","Villermain","de Villermain","à Villermain"
"41290","Villeromain","de Villeromain","à Villeromain"
"41291","Villetrun","de Villetrun","à Villetrun"
"41292","Villexanton","de Villexanton","à Villexanton"
"41293","Villiersfaux","de Villiersfaux","à Villiersfaux"
"41294","Villiers-sur-Loir","de Villiers-sur-Loir","à Villiers-sur-Loir"
"41295","Vineuil","de Vineuil","à Vineuil"
"41296","Vouzon","de Vouzon","à Vouzon"
"41297","Yvoy-le-Marron","d'Yvoy-le-Marron","à Yvoy-le-Marron"
"42001","Aboën","d'Aboën","à Aboën"
"42002","Ailleux","d'Ailleux","à Ailleux"
"42003","Ambierle","d'Ambierle","à Ambierle"
"42004","Amions","d'Amions","à Amions"
"42005","Andrézieux-Bouthéon","d'Andrézieux-Bouthéon","à Andrézieux-Bouthéon"
"42006","Apinac","d'Apinac","à Apinac"
"42007","Arcinges","d'Arcinges","à Arcinges"
"42008","Arcon","d'Arcon","à Arcon"
"42009","Arthun","d'Arthun","à Arthun"
"42010","Aveizieux","d'Aveizieux","à Aveizieux"
"42011","Balbigny","de Balbigny","à Balbigny"
"42012","Bard","de Bard","à Bard"
"42013","Bellegarde-en-Forez","de Bellegarde-en-Forez","à Bellegarde-en-Forez"
"42014","Belleroche","de Belleroche","à Belleroche"
"42015","Belmont-de-la-Loire","de Belmont-de-la-Loire","à Belmont-de-la-Loire"
"42016","La Bénisson-Dieu","de La Bénisson-Dieu","à La Bénisson-Dieu"
"42017","Le Bessat","du Bessat","au Bessat"
"42018","Bessey","de Bessey","à Bessey"
"42019","Boën-sur-Lignon","de Boën-sur-Lignon","à Boën-sur-Lignon"
"42020","Boisset-lès-Montrond","de Boisset-lès-Montrond","à Boisset-lès-Montrond"
"42021","Boisset-Saint-Priest","de Boisset-Saint-Priest","à Boisset-Saint-Priest"
"42022","Bonson","de Bonson","à Bonson"
"42023","Bourg-Argental","de Bourg-Argental","à Bourg-Argental"
"42025","Boyer","de Boyer","à Boyer"
"42026","Briennon","de Briennon","à Briennon"
"42027","Bully","de Bully","à Bully"
"42028","Burdignes","de Burdignes","à Burdignes"
"42029","Bussières","de Bussières","à Bussières"
"42030","Bussy-Albieux","de Bussy-Albieux","à Bussy-Albieux"
"42031","Caloire","de Caloire","à Caloire"
"42032","Cellieu","de Cellieu","à Cellieu"
"42033","Le Cergne","du Cergne","au Cergne"
"42034","Cervières","de Cervières","à Cervières"
"42035","Cezay","de Cezay","à Cezay"
"42036","Chagnon","de Chagnon","à Chagnon"
"42037","Chalain-d'Uzore","de Chalain-d'Uzore","à Chalain-d'Uzore"
"42038","Chalain-le-Comtal","de Chalain-le-Comtal","à Chalain-le-Comtal"
"42039","Chalmazel-Jeansagnière","de Chalmazel-Jeansagnière","à Chalmazel-Jeansagnière"
"42039","Chalmazel","de Chalmazel","à Chalmazel"
"42040","La Chamba","de La Chamba","à La Chamba"
"42041","Chambéon","de Chambéon","à Chambéon"
"42042","Chambles","de Chambles","à Chambles"
"42043","Chambœuf","de Chambœuf","à Chambœuf"
"42044","Le Chambon-Feugerolles","du Chambon-Feugerolles","au Chambon-Feugerolles"
"42045","La Chambonie","de La Chambonie","à La Chambonie"
"42046","Champdieu","de Champdieu","à Champdieu"
"42047","Champoly","de Champoly","à Champoly"
"42048","Chandon","de Chandon","à Chandon"
"42049","Changy","de Changy","à Changy"
"42050","La Chapelle-en-Lafaye","de La Chapelle-en-Lafaye","à La Chapelle-en-Lafaye"
"42051","La Chapelle-Villars","de La Chapelle-Villars","à La Chapelle-Villars"
"42052","Charlieu","de Charlieu","à Charlieu"
"42053","Châteauneuf","de Châteauneuf","à Châteauneuf"
"42054","Châtelneuf","de Châtelneuf","à Châtelneuf"
"42055","Châtelus","de Châtelus","à Châtelus"
"42056","Chavanay","de Chavanay","à Chavanay"
"42058","Chazelles-sur-Lavieu","de Chazelles-sur-Lavieu","à Chazelles-sur-Lavieu"
"42059","Chazelles-sur-Lyon","de Chazelles-sur-Lyon","à Chazelles-sur-Lyon"
"42060","Chenereilles","de Chenereilles","à Chenereilles"
"42061","Cherier","de Cherier","à Cherier"
"42062","Chevrières","de Chevrières","à Chevrières"
"42063","Chirassimont","de Chirassimont","à Chirassimont"
"42064","Chuyer","de Chuyer","à Chuyer"
"42065","Civens","de Civens","à Civens"
"42066","Cleppé","de Cleppé","à Cleppé"
"42067","Colombier","de Colombier","à Colombier"
"42068","Combre","de Combre","à Combre"
"42069","Commelle-Vernay","de Commelle-Vernay","à Commelle-Vernay"
"42070","Cordelle","de Cordelle","à Cordelle"
"42071","Le Coteau","du Coteau","au Coteau"
"42072","La Côte-en-Couzan","de La Côte-en-Couzan","à La Côte-en-Couzan"
"42073","Cottance","de Cottance","à Cottance"
"42074","Coutouvre","de Coutouvre","à Coutouvre"
"42075","Craintilleux","de Craintilleux","à Craintilleux"
"42076","Cremeaux","de Cremeaux","à Cremeaux"
"42077","Croizet-sur-Gand","de Croizet-sur-Gand","à Croizet-sur-Gand"
"42078","Le Crozet","du Crozet","au Crozet"
"42079","Cuinzier","de Cuinzier","à Cuinzier"
"42080","La Cula","de La Cula","à La Cula"
"42081","Cuzieu","de Cuzieu","à Cuzieu"
"42082","Dancé","de Dancé","à Dancé"
"42083","Dargoire","de Dargoire","à Dargoire"
"42084","Débats-Rivière-d'Orpra","de Débats-Rivière-d'Orpra","à Débats-Rivière-d'Orpra"
"42085","Doizieux","de Doizieux","à Doizieux"
"42086","Écoche","d'Écoche","à Écoche"
"42087","Écotay-l'Olme","d'Écotay-l'Olme","à Écotay-l'Olme"
"42088","Épercieux-Saint-Paul","d'Épercieux-Saint-Paul","à Épercieux-Saint-Paul"
"42089","Essertines-en-Châtelneuf","d'Essertines-en-Châtelneuf","à Essertines-en-Châtelneuf"
"42090","Essertines-en-Donzy","d'Essertines-en-Donzy","à Essertines-en-Donzy"
"42091","Estivareilles","d'Estivareilles","à Estivareilles"
"42092","L'Étrat","de l'Étrat","à l'Étrat"
"42093","Farnay","de Farnay","à Farnay"
"42094","Feurs","de Feurs","à Feurs"
"42095","Firminy","de Firminy","à Firminy"
"42096","Fontanès","de Fontanès","à Fontanès"
"42097","La Fouillouse","de La Fouillouse","à La Fouillouse"
"42098","Fourneaux","de Fourneaux","à Fourneaux"
"42099","Fraisses","de Fraisses","à Fraisses"
"42100","La Gimond","de La Gimond","à La Gimond"
"42101","Graix","de Graix","à Graix"
"42102","Grammond","de Grammond","à Grammond"
"42103","La Grand-Croix","de La Grand-Croix","à La Grand-Croix"
"42104","La Gresle","de La Gresle","à La Gresle"
"42105","Grézieux-le-Fromental","de Grézieux-le-Fromental","à Grézieux-le-Fromental"
"42106","Grézolles","de Grézolles","à Grézolles"
"42107","Gumières","de Gumières","à Gumières"
"42108","L'Hôpital-le-Grand","de l'Hôpital-le-Grand","à l'Hôpital-le-Grand"
"42109","L'Hôpital-sous-Rochefort","de l'Hôpital-sous-Rochefort","à l'Hôpital-sous-Rochefort"
"42110","L'Horme","de l'Horme","à l'Horme"
"42112","Jarnosse","de Jarnosse","à Jarnosse"
"42113","Jas","de Jas","à Jas"
"42114","Jeansagnière","de Jeansagnière","à Jeansagnière"
"42115","Jonzieux","de Jonzieux","à Jonzieux"
"42116","Juré","de Juré","à Juré"
"42117","Lavieu","de Lavieu","à Lavieu"
"42118","Lay","de Lay","à Lay"
"42119","Leigneux","de Leigneux","à Leigneux"
"42120","Lentigny","de Lentigny","à Lentigny"
"42121","Lérigneux","de Lérigneux","à Lérigneux"
"42122","Lézigneux","de Lézigneux","à Lézigneux"
"42123","Lorette","de Lorette","à Lorette"
"42124","Lupé","de Lupé","à Lupé"
"42125","Luré","de Luré","à Luré"
"42126","Luriecq","de Luriecq","à Luriecq"
"42127","Mably","de Mably","à Mably"
"42128","Machézal","de Machézal","à Machézal"
"42129","Maclas","de Maclas","à Maclas"
"42130","Magneux-Haute-Rive","de Magneux-Haute-Rive","à Magneux-Haute-Rive"
"42131","Maizilly","de Maizilly","à Maizilly"
"42132","Malleval","de Malleval","à Malleval"
"42133","Marcenod","de Marcenod","à Marcenod"
"42134","Marcilly-le-Châtel","de Marcilly-le-Châtel","à Marcilly-le-Châtel"
"42135","Marclopt","de Marclopt","à Marclopt"
"42136","Marcoux","de Marcoux","à Marcoux"
"42137","Margerie-Chantagret","de Margerie-Chantagret","à Margerie-Chantagret"
"42138","Maringes","de Maringes","à Maringes"
"42139","Marlhes","de Marlhes","à Marlhes"
"42140","Marols","de Marols","à Marols"
"42141","Mars","de Mars","à Mars"
"42142","Merle-Leignec","de Merle-Leignec","à Merle-Leignec"
"42143","Mizérieux","de Mizérieux","à Mizérieux"
"42145","Montagny","de Montagny","à Montagny"
"42146","Montarcher","de Montarcher","à Montarcher"
"42147","Montbrison","de Montbrison","à Montbrison"
"42148","Montchal","de Montchal","à Montchal"
"42149","Montrond-les-Bains","de Montrond-les-Bains","à Montrond-les-Bains"
"42150","Montverdun","de Montverdun","à Montverdun"
"42151","Mornand-en-Forez","de Mornand-en-Forez","à Mornand-en-Forez"
"42152","Nandax","de Nandax","à Nandax"
"42153","Neaux","de Neaux","à Neaux"
"42154","Néronde","de Néronde","à Néronde"
"42155","Nervieux","de Nervieux","à Nervieux"
"42156","Neulise","de Neulise","à Neulise"
"42157","Noailly","de Noailly","à Noailly"
"42158","Les Noës","des Noës","aux Noës"
"42159","Noirétable","de Noirétable","à Noirétable"
"42160","Nollieux","de Nollieux","à Nollieux"
"42161","Notre-Dame-de-Boisset","de Notre-Dame-de-Boisset","à Notre-Dame-de-Boisset"
"42162","Ouches","d'Ouches","à Ouches"
"42163","La Pacaudière","de La Pacaudière","à La Pacaudière"
"42164","Palogneux","de Palogneux","à Palogneux"
"42165","Panissières","de Panissières","à Panissières"
"42166","Parigny","de Parigny","à Parigny"
"42167","Pavezin","de Pavezin","à Pavezin"
"42168","Pélussin","de Pélussin","à Pélussin"
"42169","Périgneux","de Périgneux","à Périgneux"
"42170","Perreux","de Perreux","à Perreux"
"42171","Pinay","de Pinay","à Pinay"
"42172","Planfoy","de Planfoy","à Planfoy"
"42173","Pommiers","de Pommiers","à Pommiers"
"42174","Poncins","de Poncins","à Poncins"
"42175","Pouilly-lès-Feurs","de Pouilly-lès-Feurs","à Pouilly-lès-Feurs"
"42176","Pouilly-les-Nonains","de Pouilly-les-Nonains","à Pouilly-les-Nonains"
"42177","Pouilly-sous-Charlieu","de Pouilly-sous-Charlieu","à Pouilly-sous-Charlieu"
"42178","Pradines","de Pradines","à Pradines"
"42179","Pralong","de Pralong","à Pralong"
"42180","Précieux","de Précieux","à Précieux"
"42181","Régny","de Régny","à Régny"
"42182","Renaison","de Renaison","à Renaison"
"42183","La Ricamarie","de La Ricamarie","à La Ricamarie"
"42184","Riorges","de Riorges","à Riorges"
"42185","Rivas","de Rivas","à Rivas"
"42186","Rive-de-Gier","de Rive-de-Gier","à Rive-de-Gier"
"42187","Roanne","de Roanne","à Roanne"
"42188","Roche","de Roche","à Roche"
"42189","Roche-la-Molière","de Roche-la-Molière","à Roche-la-Molière"
"42190","Rochetaillée","de Rochetaillée","à Rochetaillée"
"42191","Roisey","de Roisey","à Roisey"
"42192","Rozier-Côtes-d'Aurec","de Rozier-Côtes-d'Aurec","à Rozier-Côtes-d'Aurec"
"42193","Rozier-en-Donzy","de Rozier-en-Donzy","à Rozier-en-Donzy"
"42194","Sail-les-Bains","de Sail-les-Bains","à Sail-les-Bains"
"42195","Sail-sous-Couzan","de Sail-sous-Couzan","à Sail-sous-Couzan"
"42196","Sainte-Agathe-en-Donzy","de Sainte-Agathe-en-Donzy","à Sainte-Agathe-en-Donzy"
"42197","Sainte-Agathe-la-Bouteresse","de Sainte-Agathe-la-Bouteresse","à Sainte-Agathe-la-Bouteresse"
"42198","Saint-Alban-les-Eaux","de Saint-Alban-les-Eaux","à Saint-Alban-les-Eaux"
"42199","Saint-André-d'Apchon","de Saint-André-d'Apchon","à Saint-André-d'Apchon"
"42200","Saint-André-le-Puy","de Saint-André-le-Puy","à Saint-André-le-Puy"
"42201","Saint-Appolinard","de Saint-Appolinard","à Saint-Appolinard"
"42202","Saint-Barthélemy-Lestra","de Saint-Barthélemy-Lestra","à Saint-Barthélemy-Lestra"
"42203","Saint-Bonnet-des-Quarts","de Saint-Bonnet-des-Quarts","à Saint-Bonnet-des-Quarts"
"42204","Saint-Bonnet-le-Château","de Saint-Bonnet-le-Château","à Saint-Bonnet-le-Château"
"42205","Saint-Bonnet-le-Courreau","de Saint-Bonnet-le-Courreau","à Saint-Bonnet-le-Courreau"
"42206","Saint-Bonnet-les-Oules","de Saint-Bonnet-les-Oules","à Saint-Bonnet-les-Oules"
"42207","Saint-Chamond","de Saint-Chamond","à Saint-Chamond"
"42208","Saint-Christo-en-Jarez","de Saint-Christo-en-Jarez","à Saint-Christo-en-Jarez"
"42209","Sainte-Colombe-sur-Gand","de Sainte-Colombe-sur-Gand","à Sainte-Colombe-sur-Gand"
"42210","Sainte-Croix-en-Jarez","de Sainte-Croix-en-Jarez","à Sainte-Croix-en-Jarez"
"42211","Saint-Cyprien","de Saint-Cyprien","à Saint-Cyprien"
"42212","Saint-Cyr-de-Favières","de Saint-Cyr-de-Favières","à Saint-Cyr-de-Favières"
"42213","Saint-Cyr-de-Valorges","de Saint-Cyr-de-Valorges","à Saint-Cyr-de-Valorges"
"42214","Saint-Cyr-les-Vignes","de Saint-Cyr-les-Vignes","à Saint-Cyr-les-Vignes"
"42215","Saint-Denis-de-Cabanne","de Saint-Denis-de-Cabanne","à Saint-Denis-de-Cabanne"
"42216","Saint-Denis-sur-Coise","de Saint-Denis-sur-Coise","à Saint-Denis-sur-Coise"
"42217","Saint-Didier-sur-Rochefort","de Saint-Didier-sur-Rochefort","à Saint-Didier-sur-Rochefort"
"42218","Saint-Étienne","de Saint-Étienne","à Saint-Étienne"
"42219","Saint-Étienne-le-Molard","de Saint-Étienne-le-Molard","à Saint-Étienne-le-Molard"
"42220","Saint-Forgeux-Lespinasse","de Saint-Forgeux-Lespinasse","à Saint-Forgeux-Lespinasse"
"42221","Sainte-Foy-Saint-Sulpice","de Sainte-Foy-Saint-Sulpice","à Sainte-Foy-Saint-Sulpice"
"42222","Saint-Galmier","de Saint-Galmier","à Saint-Galmier"
"42223","Saint-Genest-Lerpt","de Saint-Genest-Lerpt","à Saint-Genest-Lerpt"
"42224","Saint-Genest-Malifaux","de Saint-Genest-Malifaux","à Saint-Genest-Malifaux"
"42225","Genilac","de Genilac","à Genilac"
"42226","Saint-Georges-de-Baroille","de Saint-Georges-de-Baroille","à Saint-Georges-de-Baroille"
"42227","Saint-Georges-en-Couzan","de Saint-Georges-en-Couzan","à Saint-Georges-en-Couzan"
"42228","Saint-Georges-Haute-Ville","de Saint-Georges-Haute-Ville","à Saint-Georges-Haute-Ville"
